"idno","Admin Agency","email","url","year","approp_title","fund_code","eligibility","bond_sale_date","bond_series_number","amount_of_bond","category","subcategory","county","state_amount","chapter_section","reversion_date","valid_encumbrance_amount","expended_amount","aipp_amount_bof","reversion_amount","appropriation_balance","last_update","icip_project_number","icip_priority_number","local_fiscal_agent","amount_obligated","project_end_date","expended_amount_state","aipp_amount","reauth_of_balance_to_new","reauth_to_project_number","reversion_amount_two","project_status","goal_milestone_last_quarter","goal_milestone_next_quarter","project_phase","current_balance","last_agency_update","last_submission_date","expended_amount_local","current_balance_local","project_status_local","project_phase_local","goal_milestone_last_quarter_local","goal_milestone_next_quarter_local","valid_contracts_in_place","no_activity_for_month","last_submission_date_local","last_update_local"
"12-1501","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1501","2012","8TH STREET IMPROVE/COAL-BRIDGE","SEVERANCE TAX BONDS","","12/28/12","STB12SC","100000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Bernalillo","100000","64 / 18/  4","***","0","0","0","0","100000","5/26/15 0:00","","/","02100 - Albuquerque","100000","6/30/16","0","0","0","","0","Contract  D14038
Grant Agreement issued. Bonds sold in 2012C series.","Notice of Obligation to be received to create PO","Expenditure to be processed","0150 - Grant Agreement Issued","100000","5/26/15 0:00","3/23/15 0:00","0","100000","Design is complete.  Project will be bid upon sale of bonds.","","","","FALSE","FALSE","3/31/15 0:00","3/30/15 0:00"
"12-1504","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1504","2012","CURRY CO TRES AMIGAS PROJECT ROAD IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","350000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Curry","350000","64 / 18/ 16","6/30/16","0","23750","0","0","0","5/26/15 0:00","","/","05000 - Curry County","350000","6/30/16","23749","0","326250","A121504","0","Project reauthorized-Extension in Time
Laws of 2015, Chapter 147, SB291","Expenditure were processed","Additional Expenditures to hit project","REAUT - Funds reauthorized for another","1","5/26/15 0:00","4/21/15 0:00","4882","326250","asking for extension of contract","","all environmental clearances were done, and caliche has been hauled to site.","Asking for re-authorization.","FALSE","TRUE","3/24/15 0:00","4/29/15 0:00"
"12-1510","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1510","2012","AIRPORT ROAD RECONSTRUCTION - SANTA TERESA","SEVERANCE TAX BONDS","","6/21/12","STB12A","102000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Dona Ana","102000","64 / 18/ 25","6/30/16","0","38972","0","0","63028","5/26/15 0:00","25666","2015 / 003","07000 - Dona Ana County","102000","6/30/16","38971","0","0","","0","PO  185885  84263.42 was created on 1/7/14
PO  159617  17,736.58 was created on 11/19/12
Agreement D13912. Notice of Obligation received 11-14-12 for 1,770.00 vendor is Souder Miller and Associates. New Notice of Obligation received 1-10-13 for 15,966.58 same vendor Souder Miller, total amount of NOO is 17,736.58","Expenditures processed","Additional expenditures to be processed.","0210 - Project in Design","63029","5/26/15 0:00","3/23/15 0:00","38972","63028","Period ending August 30, 2012: Received grant agreement. County signature pending formal acceptance of grant agreement by the Board of County Commission planned during the September 11,2012 meeting.
Period ending October 30, 2012: Grant Agreement received. In process of obtaining enviornmental clearances and survey completed.
Period ending November 30, 2012: Survey is pending Task Order approval. Certifications/Clearances in process.  
Period ending January 30, 2013: Plan and design is in process. Souder, Miller has started survey and enviornmental reviews, which is anticipated to be complete within 2 weeks. RFP is being prepared.
Period ending March 31, 2013: Clearances in process. Preparing Request for Proposal for design.
Period ending May 30, 2013: Enviromental submitted to NMDOT. Survey continues. RFP is being developed. 
Period ending June 30, 2013: Environmental Clearance was completed, invoiced and paid during this reporting period. The survey is in process and the RFP is being developed. Reimbursement Request No. 1 in the amount of  1,770 is in process. 
Period ending July 30, 2013: Survey is in process. DAC has been working with Souder, Miller   Associates to complete survey and is expected to be complete early next month. 
Period ending August 30, 2013: Survey and Environmental completed. Waiting for final invoices from vendors. 
Period ending September 30, 2013: Survey was complete  however environmental is still pending NMDOT clearance. Wilson   Company scope of services is under review. It is anticipated that a task order will be in place in late October to begin the design phase. Period ending October 30, 2013: Processing task order for Wilson and Company for design services
Period ending December 30, 2013: Survey complete. Environmental pending NMDOT clearance. Wilson   Company is working on design. Coordinating meetings with the stakeholders. Requesting road reclassification through the MPO. 
Period ending April 30,2014: TIGER Application was submitted for construction funds. Project on hold until funding for additional scoping for phase A/B is secure. Project Development is at 28 percent. 
Period ending May 30, 2014: Working on updating the geo technical.
Period ending June 30, 2014: Waiting on change order for scope on phasing project. 
Period ending July 30, 2014: DAC is reviewing a change of scope to phase project.
Period ending August 30, 2014: The County is activity seeking additional funding. Submitted letter requesting funding from NMDOT, still pending response. Staff is working on phasing the project through the MPO for future progamming.
Period ending January 30, 2015: Staff is working on phasing the project with the MPO for future programming/funding
Period ending March 30, 2015
 Assessing potential funding sources and reviewing phase A and B consultation, also looking at possible project construction phasing.
Period ending April 30, 2015
Will be meeting with consultant to go over design amendment","","Obtained approval and applied for 2014 TIGER funds for construction. Project development is at 28 percent.","Continue the design phase and continue seeking construction funds.Update geo tech.","TRUE","FALSE","1/1/80 0:00","5/14/15 0:00"
"13-1410","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1410","2013","EL DORADO ELEMENTARY SCHOOL ROOFS CONSTRUCT","SEVERANCE TAX BONDS","","7/23/13","STB13A","100000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Santa Fe","100000","226 / 18/169","6/30/17","0","0","0","0","100000","5/26/15 0:00","","/","01013 - Santa Fe Public Schools","0","***","100000","0","0","","0","complete
District will submit for reimbursememt in Oct 14","","","0230 - Substantial Completion - Closeout","0","5/26/15 0:00","1/1/80 0:00","0","0","","","","","","","",""
"12-1511","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1511","2012","DONA ANA CO TORTUGAS DRAINAGE IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","80000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Dona Ana","80000","64 / 18/ 26","6/30/16","0","68830","0","0","11170","5/26/15 0:00","26962","2015 / 032","07000 - Dona Ana County","80000","6/30/16","68830","0","0","","0","PO  167899, 04/3/2013  75,024.84
Contract  D13915
Project in design. NOO received 4-2-2013 for 75,024.84 vendor is Bohannan Huston Inc.","Expenditures were processed","Additional expenditure to be processed.","0150 - Grant Agreement Issued","11170","5/26/15 0:00","3/26/15 0:00","68830","10139","Period ending August 30, 2012: Received grant agreement. County signature pending formal acceptance of grant agreement by the Board of County Commission planned during the September 11, 2012 meeting.
Period ending October 30, 2012: Grant Agreement received. Project will require Request for Proposal for design services. 
Period ending November 30, 2012: Project Manager is working on developing the scope of work and will be contacting A E firm from Dona Ana County s  on-call  contract list to task for Design services. 
Period ending December 30, 2012: Project Manager is reviewing contract documents and A E contracts. 
Period ending January 30, 2013: Project Manager is meeting with Engineering firm to obtain a proposal under the existing on-call engineering services contract.
Period ending May 30, 2013: Design in process. 1st Reimbursement in process in the amount of  10,010.37
Period ending June 30, 2013: Design is approximately 30 percent complete. Reimbursement No. 2 in the amount of  22,033.72 is currently in process. 
Period ending July 30, 2013: Design continues, ROW survey complete, researching deeds and easements.  Meeting with EBID to discuss anticipated discharge locations.  On task to request EBID permitting at their Aug 14th meeting.  Continuing coordination with CLC Utilities.
Period ending August 30, 2013: EBID permit requested. Plan review is at 60  complete.
Period ending September 30, 2013: Held public meeting to go over 60 percent plans. Comments provided to consultant, potholing took place and will be moving to 90 percent plans in mid October. Reimbursement request in the amount of  19,790.48 to be processed. Period ending October 30, 2013: Design is still in process. Reimbursement request no. 3 will be process during the next period. Period ending December 30, 2013: Plan review is at 90 percent. Monthly community update meetings have been taking place. DAC is coordinating meetings with the City of Las Cruces to explore options for drainage needs. 
Period ending April 30, 2014: project continues with approximately 90 percent complete. NMDOT requested modifications to obtain permit. Colonias Infrastructure application submitted to complete project. Certifications continue and project development is at 60 percent complete.
Period ending May 30, 2014: Working with Bohannan Huston on making the necessary modifications as requested by NMDOT. 
Period ending June 30, 2014: 90 percent plans completed pending review. Reimbursement request No. 4in the amount of 3,407.04 processed. 
Period ending July 30, 2014: Working on implementing NMDOT and CLC modification requests to obtain permit. 
Period ending August 30, 2014: Project design 90  complete and will be submitted by consultant for DAC review. DAC is waiting for additional 2014 funding to complete the full project. The community group was consulted and they expressed their wish to begin the phases with available funds and continue future phases when the addition 2014 funding is available. 
Period ending January 30, 2015: Held meeting with BHI, Inc. to revise one section/leg of the storm drain.
Period ending March 30, 2015
Discussions with utility companies, certifications being submitted.  Attending community monthly meeting for project status updates to them.
Period ending April 30, 2015
Moving on obtaining certifications for recent Capital Outlay funding","","Design phase is at 90% complete. Design includes phasing. Community agreed to begin construction of phase with available funding.","Construction is anticipated to begin late November.","TRUE","FALSE","1/1/80 0:00","5/14/15 0:00"
"12-1512","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1512","2012","SOUTH LOOP ROAD CONSTRUCT-EDDY CO","SEVERANCE TAX BONDS","","6/21/12","STB12A","536300","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Eddy","536300","64 / 18/ 27","6/30/16","0","0","0","0","536300","5/26/15 0:00","","/","99352 - Educational Retirement Board","536300","6/30/16","0","0","0","","0","Agreement D13941.","Receipt of Notice of Obligation to create PO","Expenditures to be processed","0150 - Grant Agreement Issued","536300","5/26/15 0:00","3/23/15 0:00","157929","377929","ROW acquisition is now done and final plat of road being prepared for signature, Smith Engineering is under contract to do design.","","See Above","Work towards completion of 50% plan set.","TRUE","FALSE","1/1/80 0:00","5/23/14 0:00"
"12-1513","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1513","2012","MOSQUERO STREETS IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","50000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Harding","50000","64 / 18/ 28","6/30/16","0","41541","0","0","8459","5/26/15 0:00","","/","31001 - Mosquero","50000","6/30/16","41541","0","0","","0","PO  157762, 10/18/2012  50,000.00
Agreement D13911. Notice of Obligation recieved on 10-11-12 with vendor Dennis Engeneering Company for 50,000.","Expenditures processed","Additional expenditure to be processed.","0150 - Grant Agreement Issued","8459","5/26/15 0:00","3/16/15 0:00","585222","4414778","New Project, agreement D13911. Notice of Obligation recieved on 10-11-12 with vendor Dennis Engeneering Company for 50,000- Project in planning and design. The project has been designed and awaiting final approval of all funding sources. The project is 80  complete and will close out soon.","","","","FALSE","FALSE","12/7/12 0:00","3/20/15 0:00"
"12-1514","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1514","2012","2ND STREET IMPROVE-ROY","SEVERANCE TAX BONDS","","6/21/12","STB12A","60000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Harding","60000","64 / 18/ 29","6/30/16","0","41271","0","0","0","5/26/15 0:00","","/","31002 - Roy","60000","6/30/16","41271","0","18729","13-1120","0","Project Reauthorized to 13-1120.
Received Notice of Obligation for  18,728.58 on 10/6/14
Contractor: Dennis Engineering Co.
PO  157761","PO #157761 created","Expenditures to be processed","REAUT - Funds reauthorized for another","0","5/26/15 0:00","1/15/15 0:00","41272","18729","Project is under construction, project was suspended until March 18, 2013 and was extended. Extension period expired on April 22, 2013 due to inclement weather. Construction is mobilizing and will be onsite the week of April 29, 2013.","","","","TRUE","FALSE","4/25/13 0:00","4/25/13 0:00"
"12-1515","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1515","2012","MCKINLEY CO ROAD 19 PLAN","SEVERANCE TAX BONDS","","6/21/12","STB12A","200000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","McKinley","200000","64 / 18/ 30","6/30/16","0","54741","0","0","145259","5/26/15 0:00","","/","13000 - McKinley County","200000","6/30/16","54741","0","0","","0","Grant Agreement D13856.
PO  184575, 12/11/2013  172,270.72
PO  174190, 7/17/2013  27,729.28
notice of Obligation received 7-15-13 for 27,729.28 vendor McKinley County.
CONTRACT  D13853","Expenditures were processed","Expenditures to be processed","0150 - Grant Agreement Issued","145259","5/26/15 0:00","3/26/15 0:00","0","172271","DePauli Engineering in process of obtaining/working on the right of way acquisitions, clearances, etc. Local chapter also helping on the ROW documentation. 4/29/2015","","","Chapter working on obtaining right of way documentation","TRUE","FALSE","1/1/80 0:00","4/29/15 0:00"
"12-1516","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1516","2012","DEER SPRINGS RD IMPROVE PLAN-MEXICAN SPRINGS","SEVERANCE TAX BONDS","","6/21/12","STB12A","50000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","McKinley","50000","64 / 18/ 34","6/30/16","0","29311","0","0","20689","5/26/15 0:00","","/","13000 - McKinley County","50000","6/30/16","29311","0","0","","0","Grant Agreement D13854
PO  184585, DATED 12/11/2013  28,217.00
PO  174144, DATE 7/17/2013  21,782.99
Notice of Obligation received 7-15-13 for 21,782.99 vendor Mckinley County.","Expenditures were processed","Additional expenditures to be processed","0210 - Project in Design","20689","5/26/15 0:00","3/26/15 0:00","0","20689","work in progress with local chapter and DePauli Engineering on Right of Way-Land surveying. Construction will be begin shortly for the chapter is working on the final steps of the right of way process. 4/29/2015","","","to have Right-of-way land survey documents completed by local Chapter","TRUE","FALSE","1/1/80 0:00","4/29/15 0:00"
"12-1532","New Mexico State University","mailto:walke@ad.nmsu.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1532","2012","NMSU ATHLETIC FACILITIES IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","110000","HED","Higher Education (facilities, equipment)","Dona Ana","110000","64 / 23/  1","6/30/16","0","109194","0","0","806","5/26/15 0:00","","/","99954 - New Mexico State University","0","***","109194","0","0","","0","12/14/12 - Currently have 41,736 encumbered. 09/13/2013 - Miscellaneous projects are proceeding.12/17/13 - Purchases pending are a treadmill and TENDO training units. 14,361 encumbered. 3/14/14- Purchases pending. 22,220 encumbered. 6/23/14 - Project is complete 9-15-14 Project complete pending spending of remaining  806. Dec 12 2014, Project received a credit so pending new equipment request. Mar 2015 Still evaluating equip options for purchase.","Evaluating equipment options for bal of 806 dollars.","Dec 12 2014, Finalize remaining spending of $806.","0230 - Substantial Completion - Closeout","806","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"12-1639","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1639","2012","RIO RANCHO REGIONAL PARK FCLTY 15/43, RET","SEVERANCE TAX BONDS REAUTH","","6/25/08","STB08A-1","100000","","","Sandoval","0","63 / 86","6/30/14","0","100000","0","0","0","5/26/15 0:00","","/","29005 - Rio Rancho","0","***","100000","0","0","","0","The City of Rio Rancho has provided documentation to LGD that the site of the park is owned by the city.  The anti-donation issue has been cleared and the funds are now available for draw down.  At this time pending the outcome of HB353 and whether or not $197, 999 is going to be reauthorized to Sierra County.  If this money is reauthorized then the city does not think that the project can move forward with the funding available.  The city has not completed any plan and design and currently does not have any contracts in place.
New project purpose approved at November 26, 2012 meeting.  Grant agreement initiated.  No anti-donation issues. city owns the land on which the park will be constructed.  

SBOF did not approve new purpose at June 21, 2012 Board Mtg
pending SBOF meeting 06/19/2012

A contract was signed with Consensus Planning Inc., on March 31, 2013, for the planning, design drawings, and construction management for this project.
  0150-Grant Agreement Issued    12/19/2012
  0210-Design/Plan               06/24/2013","","","0250 - Project Closed","0","1/20/15 15:45","1/20/15 15:45","100000","0","Construction began on March 10, 2014.  Funds from 12-1640 utilized first","","Play hill stairs have been completed; forming and concrete pouring for seating walls ongoing; building loop path around play areas ongoing; block retaining wall around court area complete; other fencing around court area ongoing; various playground equipment has been delivered and being installed.","Complete purchase and installation of shade structures; complete site fencing and complete installation of play tunnel.","TRUE","FALSE","6/17/14 0:00","6/17/14 0:00"
"12-1517","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1517","2012","JOHNSON RD/CO RD 55 IMPROVE PLAN-TWIN LAKES","SEVERANCE TAX BONDS","","6/21/12","STB12A","50000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","McKinley","50000","64 / 18/ 35","6/30/16","0","39226","0","0","10774","5/26/15 0:00","","/","13000 - McKinley County","50000","6/30/16","39226","0","0","","0","Grant Agreement D13855
PO  184616, 12/12/2013  16,191.03
PO  174136, 7/17/13  33,808.97
Contract  D13855
Notice of Obligation received for 33,808.97 vendor McKinley County.","78.5% expended to date","Additional expenditure to be processed and close of project","0150 - Grant Agreement Issued","10774","5/26/15 0:00","12/12/14 0:00","0","6461","Received a copy of the Environmental Survey from SWCA. 4/29/2015","","To have right-of-way acquisition documentation near completion and to have copy of the Environmental Survey","to expend the remaining amount of funds","TRUE","FALSE","1/1/80 0:00","4/29/15 0:00"
"12-1518","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1518","2012","ROOSEVELT CO ROADS IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","150000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Roosevelt","150000","64 / 18/ 38","6/30/16","0","150000","0","0","0","5/26/15 0:00","","/","11000 - Roosevelt County","150000","6/30/16","150000","0","0","","0","PO  181687, 10/25/2013  150,000.00
Agreement D13931. Closed out project on 6/2/2014","Closed out project","","0250 - Project Closed","0","5/26/15 0:00","12/15/14 0:00","45845","0","Nov. 45843.63 requested for final payment, received payment 12-26-13 -- Project complete.","","project completed, awaiting notice of final close out from NMDOT.","","TRUE","TRUE","1/15/14 0:00","11/26/14 0:00"
"12-1520","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1520","2012","RAIL RUNNER AVE EXTENSION-BERNALILLO","SEVERANCE TAX BONDS","","6/21/12","STB12A","195000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Sandoval","195000","64 / 18/ 42","6/30/16","0","42754","0","0","0","5/26/15 0:00","","/","02000 - Bernalillo County","0","***","42754","0","152246","13-1134","0","Agreement D13910. NOO received 4/24/13 for 42,753.78 with vendor Molzen Corbin. Reauthed to 13-1134 in SB60.","","","REAUT - Funds reauthorized for another","0","5/26/15 0:00","5/29/13 0:00","0","0","","","","","","","",""
"12-1521","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1521","2012","CORRALES RD/HARVEY JONES CHANNEL-SSCAFCA","SEVERANCE TAX BONDS","","6/21/12","STB12A","383000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Sandoval","383000","64 / 18/ 43","6/30/16","0","383000","0","0","0","5/26/15 0:00","","/","29021 - Southern Sandoval County Arroyo Food Control Autho","383000","6/30/16","383000","0","0","","0","Received Notice to Close on 2/20/15
Grant Agreement D13874
PO created for  243,288.49 and sent to entity on 10/17/14","Grant Agreement Issued and PO created.","Close out of project","0150 - Grant Agreement Issued","0","5/26/15 0:00","3/16/15 0:00","0","0","Project under construction.  Demolition of concrete complete.","","Completed bidding and award.","Complete construction of new channel geometry","TRUE","FALSE","1/1/80 0:00","1/23/15 0:00"
"12-1564","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1564","2012","EXPLORA SCI CTR & CHILDREN'S MUS IMPROVE 4/15, RET","SEVERANCE TAX BONDS REAUTH","","***","","0","","","Bernalillo","0","63 /  11","6/30/14","0","229597","0","0","0","5/26/15 0:00","","/","02100 - Albuquerque","0","***","229597","0","0","","0","The project is in construction.  The city anticipated having construction completed in August 2013.  The city has requested reimbursement for $237K and anticipates submitting additional pay requests for $521K.   The anticipated work includes the addition of 2 exhibits, an expansion of the facility and new carpet. 
Grant fully executed 05/29/2012 operating agreement approved by LGD on 07/26/2012
Project reauthorized 05-0231

  0220-Construct                 08/09/2012
  0250-Closed                    05/27/2014","","","0250 - Project Closed","0","1/20/15 15:45","1/20/15 15:45","229597","0","Construction underway","","","","FALSE","FALSE","4/30/13 0:00","4/30/13 0:00"
"12-1584","Department of Cultural Affairs","mailto:chris.romero@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1584","2012","NM FARM & RANCH MUS/TAYLOR REYNOLDS MONUMENT, RET","SEVERANCE TAX BONDS REAUTH","","12/30/08","STB08SD","25000","","","Dona Ana","0","63 /  31","6/30/14","0","25000","0","0","0","5/26/15 0:00","","/","99505 - Department of Cultural Affairs","19862","***","25000","0","0","","0","Funding was reauthorized from Veterans Museum until June 30 2014.  5.0 allocated to Farm Ranch   20 allocated to Taylor Historic Site.  FRHM 5.0 encumbered for ADA door repairs and installation.  Taylor funds being combined with other Taylor reauth funds.  Contract in process to make improvements to store which has been vacated, to make it usable for state when state takes possession.","Taylor construction underway - ADA bathroom renovation in Reynolds store.  Project funds will be expended by June 30 2014; completion of project requires additional funding from 2013 repair funds.","Project will be closed.","0250 - Project Closed","0","5/26/15 0:00","9/10/14 0:00","0","0","","","","","","","",""
"12-1523","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1523","2012","SANTA FE CO RD 90 WATER/SEWER LINE IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","40000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Santa Fe","40000","64 / 18/ 45","6/30/16","0","0","0","0","40000","5/26/15 0:00","","/","01000 - Santa Fe County","40000","6/30/16","0","0","0","","0","PO  212470 for  39,936.78 was created on 2/9/15
Notice of Obligation received on 1/22/15
Grant agreement issued D13987.","PO created","Expenditures to be processed","0150 - Grant Agreement Issued","40000","5/26/15 0:00","3/26/15 0:00","0","40000","5/28/2015 - Work will start in June 2015
4/29/2015 - Work will start in June 2015.
2/25/2015 - Staff is waiting for better weather to do the work.  We anticipate starting in June 2015.
1/29/2015 - Staff has generated PO s for the materials and has received a  Notice of Obligation .
12/30/2014 - Staff is getting bids on materials.
11/26/2014 - Staff will purchase the materials in the springs to lay the materials in warm weather.
9/24/2014 - Staff is allocating the funds to materials for the road improvement.
5/30/2014 - Staff is identifying additional funding for the project.
3/6/2014 - Staff is developing scope for project.
11/27/2013 - Staff is reevaluating the project.
9/26/2013 - Request for Notice of Obligation is being prepared.
7/31/2013 - Agreement is being drafted.
6/27/2013 - Agreement stillbeing negotiated and drafted.
4/30/2013 - Staff is working with legal to transfer the funds.
2/28/2013 - Funding was approved at the February 26 BCC
1/31/2013 - Grant funds are schedule to be budgeted at the February meeting.
11/30/2012 - Grant is with the state for signature.
Staff received the grant and is routing for signatures.","","","","FALSE","TRUE","5/28/15 0:00","5/28/15 0:00"
"12-1603","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1603","2012","SANTA TERESA EMERGENCY RESPONSE STATION, RET","SEVERANCE TAX BONDS REAUTH","","***","","0","","","Dona Ana","0","63 / 50","6/30/14","0","112903","0","0","0","5/26/15 0:00","","/","07000 - Dona Ana County","0","***","112903","0","0","","0","Project is complete.  Funds expended in full.  Funds were utilized to construct the emergency response station.
Grant agreement issued 05/24/2012
Reauthorized from 08-3225
  0150-Grant Agreement Issued    05/24/2012
  0240-Complete                  12/19/2012","","","0240 - Project Complete","0","1/20/15 15:45","1/20/15 15:45","0","0","","","","","","","",""
"12-1537","New Mexico State University","mailto:walke@ad.nmsu.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1537","2012","OTERO SWCD SACRAMENTO MTN HYDROGEOLOGIC STUDY","SEVERANCE TAX BONDS","","6/21/12","STB12A","130000","Local","Acequias & Dams (rivers, conservation)","Multiple","130000","64 / 23/  9","6/30/16","0","101107","0","0","28893","5/26/15 0:00","","/","07019 - Department of Agriculture","11130","***","118870","0","0","","0","1. Geologic Mapping: The geologic compilation maps for the Tularosa Basin study area will be broken into 2 map areas - northern and southern.   Final map production, ready for printing, is scheduled for June 2013.        
2. Regional Hydrogeologic Studies:We have completed a preliminary water table map for the study area in the Tularosa Basin.
3. Sacramento Mountain Watershed Study:Field data was downloaded during the first week of November. Data that was downloaded includes groundwater levels, spring discharge, precipitation, and other climate data.  The data was processed and entered into the data base.                                      Completion Date:  06/30/2014 
12/17/13 - Final cartography for the Northern and Southern maps are continuing. Final map production is near completion. Data analysis for the Tularosa Basin is continuing. Writing of the final report has begun. Data analysis for the large data set collected over the last 5 years has started. 49,332,28 encumbered.
3/14/14- Final cartography for the Northern and Southern maps are continuing. Final map production is near completion. Data analysis for the Tularosa Basin is continuing. Writing of the final report has begun. Data analysis for the large data set collected over the last 5 years has started. 44,222 encumbered. 6/23/14 - The project is continuing.  9/11/14 The project is continuing.
12/10/14 Project is continuing.
3/11/15 Project is nearly complete.","Monitoring continuing.","Completion of Monitoring and drafting of the final report","0220 - Project in Construction","11130","5/26/15 0:00","3/11/15 0:00","0","0","","","","","","","",""
"12-1538","New Mexico State University","mailto:walke@ad.nmsu.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1538","2012","GILA VALLEY MALDONADO DAM IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","177000","Local","Acequias & Dams (rivers, conservation)","Grant","177000","64 / 23/ 10","6/30/16","0","177000","0","0","0","5/26/15 0:00","","/","","0","***","177000","0","0","","0","12/14/12 - Contractor has begun removing sediment from the dam.  Completion date is 6/30/14.  Currently 177,000 encumbered.","","","0100 - Appropriated","0","5/26/15 0:00","3/15/13 0:00","0","0","","","","","","","",""
"12-1632","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1632","2012","BERNALILLO SOCCER COMPLEX, RET","SEVERANCE TAX BONDS REAUTH","","***","","0","","","Sandoval","0","63 / 79","6/30/14","0","8141","0","0","0","5/26/15 0:00","","/","29000 - Sandoval County","0","***","8141","0","0","","81","GA fully executed 11/05/2012. GA mailed to grantee 10/22/2012.
Reauthorized from 08-3259
No progress reported to date.  
Grantee has been contacted and notified as to why there has not been any draw downs 2/7/2014. 
  0150-Grant Agreement Issued    12/19/2012","","","0250 - Project Closed","-1","12/15/14 16:33","12/15/14 16:33","0","0","No activity funding expired","","","","FALSE","TRUE","1/1/80 0:00","8/30/13 0:00"
